,No.,Activity / Attraction,Category,Postcode,District/Borough,City,Latitude,Longitude,Cat1,Cat2,Popularity
0,1,Martyrs' Memorial,historic:monument,OX1 3AE,City Centre,Oxford,51.755087,-1.2589965,historic,monument,1
1,2,Vue Cinema Oxford,amenity:cinema,OX4 4XP,Littlemore,Oxford,51.7175719,-1.2109568,amenity,cinema,5
2,3,Headington County Library,amenity:library,OX3 9HX,Headington,Oxford,51.7627905,-1.2090977,amenity,library,3
3,4,Grave of C. S. Lewis,tourism:attraction,OX3 8LH,Headington,Oxford,51.7573158,-1.1981485,tourism,attraction,5
4,5,Old Marston Library,amenity:library,OX3 0PH,Old Marston,Oxford,51.7718956,-1.2364367,amenity,library,2
5,6,New Marston War Memorial,historic:memorial,OX3 0EA,New Marston,Oxford,51.7585101,-1.2356585,historic,memorial,2
6,7,Oxfordshire and Buckinghamshire Light Infantry War Memorial,historic:memorial,OX4 3JR,Rose Hill,Oxford,51.7323675,-1.2283123,historic,memorial,3
7,8,New Theatre Oxford,amenity:theatre,OX1 2AG,City Centre,Oxford,51.7538627,-1.2598378,amenity,theatre,1
8,9,Blackwell's,shop:books,OX1 3BQ,City Centre,Oxford,51.7546335,-1.2555092,shop,books,2
9,10,Rewley Abbey,historic:ruins,OX1 2RA,City Centre,Oxford,51.7543071,-1.2683555,historic,ruins,3
10,11,Museum of Oxford,tourism:museum,OX1 1BX,City Centre,Oxford,51.7513841,-1.2571096,tourism,museum,5
11,12,Site of the Morris Longwall Garage,tourism:attraction,OX1 3TX,City Centre,Oxford,51.7545295,-1.248955,tourism,attraction,1
12,13,Tirah Memorial,historic:memorial,OX1 1LT,City Centre,Oxford,51.7517423,-1.2600009,historic,memorial,5
13,14,Old Fire Station Theatre,amenity:theatre,OX1 2AQ,City Centre,Oxford,51.7536471,-1.2622781,amenity,theatre,5
14,15,Shelley Memorial,tourism:artwork,OX1 4BJ,City Centre,Oxford,51.7525813,-1.2524494,tourism,artwork,1
15,16,Millennium Milepost Eastern By-Pass Road,tourism:information,OX4 4UP,Oxfordshire,Vale of White Horse,51.7255782,-1.2417176,tourism,information,2
16,17,Edgar George Wilson,historic:memorial,OX2 0EW,South Oxford,Oxford,51.7469047,-1.2675544,historic,memorial,4
17,18,Jarn Mound,tourism:attraction,OX1 5JF,Oxfordshire,Vale of White Horse,51.7169146,-1.2973681,tourism,attraction,5
18,19,Oxford City Boundary Stone,historic:boundary_stone,OX2 8AZ,Wolvercote,Oxford,51.7778925,-1.282858,historic,boundary_stone,4
19,20,Oxford Spires,shop:gift,OX1 3EX,City Centre,Oxford,51.7524983,-1.2578658,shop,gift,5
20,21,Boathouse Corner,tourism:viewpoint,OX1 4UW,East Oxford,Oxford,51.7420762,-1.247947,tourism,viewpoint,2
21,22,Kingfisher Point,tourism:viewpoint,OX4 1EQ,East Oxford,Oxford,51.7439835,-1.2468878,tourism,viewpoint,5
22,23,St Margaret's Well,amenity:place_of_worship,OX2 0NG,Oxfordshire,Oxford,51.7690892,-1.2977882,amenity,place_of_worship,2
23,24,Daunt Books,shop:books,OX2 7HN,Summertown,Oxford,51.7777436,-1.2652828,shop,books,4
24,25,The Cross of Sacrifice,historic:memorial,OX2 0FQ,Botley,Vale of White Horse,51.7502984,-1.2937342,historic,memorial,3
25,26,Blackwell's Sci-Fi and Manga,shop:books,OX1 3BS,City Centre,Oxford,51.7542306,-1.2563562,shop,books,2
26,27,Antiques on High,shop:antiques,OX1 4BH,City Centre,Oxford,51.7524948,-1.2506711,shop,antiques,4
27,28,Oxford War Memorial,historic:memorial,OX1 3LN,City Centre,Oxford,51.7583199,-1.2601264,historic,memorial,4
28,29,Alice's Shop,shop:gift,OX1 1RA,City Centre,Oxford,51.7488992,-1.2567646,shop,gift,2
29,30,Tower of the Five Orders,tourism:attraction,OX1 3BW,City Centre,Oxford,51.7540982,-1.2540762,tourism,attraction,5
30,31,Edmond Halley,historic:memorial,OX1 3BL,City Centre,Oxford,51.7545022,-1.2532536,historic,memorial,4
31,32,Botley Library,amenity:library,OX2 9TH,Botley,Vale of White Horse,51.7508658,-1.2985562,amenity,library,5
32,33,Walton Well Drinking Fountain,tourism:attraction,OX2 6EE,Osney,Oxford,51.7622249,-1.2699357,tourism,attraction,3
33,34,New Marston (South) Residents Association,tourism:information,OX3 0HF,New Marston,Oxford,51.7616074,-1.2415033,tourism,information,4
34,35,Marks & Spencer,shop:department_store,OX1 1AB,City Centre,Oxford,51.7513171,-1.2588846,shop,department_store,5
35,36,Waterstones,shop:books,OX1 1EP,City Centre,Oxford,51.7515102,-1.2593919,shop,books,5
36,37,Shotover Country Park Map,tourism:information,OX3 8GH,Forest Hill with Shotover,South Oxfordshire,51.7516194,-1.1846753,tourism,information,4
37,38,Littlemore Library,amenity:library,OX4 6JS,Littlemore,Oxford,51.7225871,-1.2158025,amenity,library,5
38,39,Site of Headington Union Workhouse,historic:workhouse,OX3 8BB,Headington,Oxford,51.7619328,-1.2015447,historic,workhouse,5
39,40,J.R.R. Tolkien,historic:memorial,OX2 6UH,North Oxford,Oxford,51.771051,-1.2602266,historic,memorial,3
40,41,Blue Plaque - Niradc. Chaudhuri,historic:memorial,OX2 7AU,North Oxford,Oxford,51.7725127,-1.2657186,historic,memorial,5
